uniqueCell_ID,POINT_X,POINT_Y,country,countryGID,GID_1,province,lcc2000,lcc2005,lcc2008,lcc2011,lcc2014,suitability,treecover,acc_min,urban
1,100.984419123,22.589256619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.00117892038542777,60.251091003418,83.7197799682617,0
2,101.025839123,22.589256619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.00126954168081284,38.0629615783691,30.0868148803711,0
3,101.028019123,22.589256619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.00125881959684193,58.0105361938477,35.3522300720215,0
4,101.030199123,22.589256619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.00123266107402742,84.0093460083008,39.4825668334961,0
5,101.032379123,22.589256619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.0011893454939127,83.3449935913086,42.5866241455078,0
6,100.938639123,22.587166619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.000806544150691479,52.8940963745117,264.916931152344,0
7,100.982239123,22.587166619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00125966069754213,77.754264831543,97.5904388427734,0
8,100.984419123,22.587166619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00116014934610575,72.6782531738281,92.6294631958008,0
9,100.986599123,22.587166619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.00106063799466938,56.1085472106934,87.6684875488281,0
10,101.023659123,22.587166619,China,CHN,CHN.30_1,"",17,17,17,17,17,0.00129579158965498,9.99964618682861,22.2126998901367,0
11,101.025839123,22.587166619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.00126324314624071,22.1785411834717,29.021333694458,0
12,101.028019123,22.587166619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.00123069470282644,33.0497856140137,35.8299674987793,0
13,101.030199123,22.587166619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.0011958375107497,58.4476356506348,40.1966552734375,0
14,101.032379123,22.587166619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.00115841440856457,78.0963745117188,42.3554534912109,0
15,101.034559123,22.587166619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.00112099118996412,79.7058868408203,44.5142555236816,0
16,101.036739123,22.587166619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.00108356808777899,85.1603698730469,46.6730537414551,0
17,100.810019123,22.585076619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.000888333190232515,29.4447574615479,240.475006103516,0
18,100.934279123,22.585076619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.000849844072945416,45.8534393310547,290.035614013672,0
19,100.936459123,22.585076619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.000820607587229461,61.8890037536621,282.226165771484,0
20,100.938639123,22.585076619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.000809852033853531,64.7209777832031,273.769378662109,0
21,100.940819123,22.585076619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.000815983454231173,40.3106575012207,264.832275390625,0
22,100.947359123,22.585076619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.000829460099339485,29.8740043640137,238.979614257813,0
23,100.980059123,22.585076619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00130233133677393,77.9703063964844,115.372459411621,0
24,100.982239123,22.585076619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00121583289001137,77.3300704956055,110.477088928223,0
25,100.984419123,22.585076619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00112933455966413,67.525634765625,105.581726074219,0
26,100.986599123,22.585076619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00104283611290157,64.1087799072266,100.686363220215,0
27,101.021479123,22.585076619,China,CHN,CHN.30_1,"",5,5,5,5,5,0.00133102363906801,14.5890197753906,15.0387601852417,0
28,101.023659123,22.585076619,China,CHN,CHN.30_1,"",17,17,17,17,17,0.00133642484433949,16.5357608795166,20.0759410858154,0
